Command Center Browser, SHORTCUTS, OPEN_DESIGN, Ctrl+O
Command Center Browser, SHORTCUTS, HELPITEM, F1
Command Center Browser, SHORTCUTS, FILE_NEW_PART, Ctrl+Shift+T
Command Center Browser, SHORTCUTS, FILE_NEW_SHEET_METAL_PART, Ctrl+Shift+L
Command Center Browser, SHORTCUTS, FILE_NEW_ASSEMBLY, Ctrl+Shift+B
Command Center Browser, SHORTCUTS, FILE_NEW_DRAWING, Ctrl+Shift+D
Command Center Browser, SHORTCUTS, FILE_NEW_BOM, Ctrl+Shift+M
Command Center Browser, SHORTCUTS, COMMANDCENTER_OPTIONS, Ctrl+Shift+O
Command Center Browser, SHORTCUTS, COMMUNITY_HOME, Alt+Home
Design Boolean Browser, SHORTCUTS, SELECTALL, Ctrl+A
Design Boolean Browser, SHORTCUTS, COPY, Ctrl+C
Design Boolean Browser, SHORTCUTS, OPEN_DESIGN, Ctrl+O
Design Boolean Browser, SHORTCUTS, PRINT_DESIGN, Ctrl+P
Design Boolean Browser, SHORTCUTS, PASTE, Ctrl+V
Design Boolean Browser, SHORTCUTS, CUT, Ctrl+X
Design Boolean Browser, SHORTCUTS, REDO, Ctrl+Y
Design Boolean Browser, SHORTCUTS, UNDO, Ctrl+Z
Design Boolean Browser, SHORTCUTS, DELETE, Del
Design Boolean Browser, SHORTCUTS, DESIGN_PROPERTIES, Alt+Enter
Design Boolean Browser, SHORTCUTS, PROFILE_OPTIONS, Ctrl+Shift+O
Design Boolean Browser, SHORTCUTS, CUSTOM_ORIENTATIONS, Ctrl+U
Design Boolean Browser, SHORTCUTS, ROTATION_POINTS, Ctrl+R
Design Boolean Browser, SHORTCUTS, CMD_MEASUREMENTTOOL, Ctrl+M
Design Boolean Browser, SHORTCUTS, EQUATION, Ctrl+E
Design Boolean Browser, SHORTCUTS, TOGGLE_WORKSPACES, Ctrl+Tab
Design Boolean Browser, SHORTCUTS, HELPITEM, F1
Design Boolean Browser, SHORTCUTS, PREVIOUS_VIEW, F3
Design Boolean Browser, SHORTCUTS, NEXT_VIEW, F4
Design Boolean Browser, SHORTCUTS, REGENERATE_ASSEMBLY, F5
Design Boolean Browser, SHORTCUTS, ZOOM_FIT, Home
Design Boolean Browser, SHORTCUTS, INSERT_DESIGN, Ctrl+Shift+I
Design Boolean Browser, SHORTCUTS, HIDE_SELECTION, Ctrl+H
Design Boolean Browser, SHORTCUTS, TOGGLE_ANNOTATIONS, Ctrl+Shift+A
Design Boolean Browser, SHORTCUTS, TOGGLE_SKETCH_DIMENSIONS, Ctrl+Shift+E
Design Boolean Browser, SHORTCUTS, TOGGLE_CONSTRAINTS, Ctrl+Shift+C
Design Boolean Browser, SHORTCUTS, TOGGLE_GRID, Ctrl+Shift+G
Design Boolean Browser, SHORTCUTS, TOGGLE_REDLINES, Ctrl+Shift+R
Design Boolean Browser, SHORTCUTS, TOGGLE_SKETCHES, Ctrl+Shift+K
Design Boolean Browser, SHORTCUTS, TOGGLE_ALLREFS, Ctrl+Shift+P
Design Boolean Browser, SHORTCUTS, TOGGLE_WIREFRAME, Ctrl+Shift+W
Design Boolean Browser, SHORTCUTS, CMD_ASSEMBLY_CONSTRAINTS, Ctrl+Shift+C
Design Boolean Browser, SHORTCUTS, FILE_NEW_PART, Ctrl+Shift+T
Design Boolean Browser, SHORTCUTS, FILE_NEW_SHEET_METAL_PART, Ctrl+Shift+L
Design Boolean Browser, SHORTCUTS, FILE_NEW_ASSEMBLY, Ctrl+Shift+B
Design Boolean Browser, SHORTCUTS, FILE_NEW_DRAWING, Ctrl+Shift+D
Design Boolean Browser, SHORTCUTS, FILE_NEW_BOM, Ctrl+Shift+M
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_FRONT, Ctrl+1
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_BACK, Ctrl+2
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_LEFT, Ctrl+3
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_RIGHT, Ctrl+4
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_TOP, Ctrl+5
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_BOTTOM, Ctrl+6
Design Boolean Browser, SHORTCUTS, CMD_ORIENT_ISO_FRONT_NW, Ctrl+7
Design Boolean Browser, SHORTCUTS, TOGGLE_POINTS, Alt+1
Design Boolean Browser, SHORTCUTS, TOGGLE_AXES, Alt+2
Design Boolean Browser, SHORTCUTS, TOGGLE_PLANES, Alt+3
Design Boolean Browser, SHORTCUTS, TOGGLE_COORDINATE_SYSTEM, Alt+4
Design Boolean Browser, SHORTCUTS, TOGGLE_ORIENTATION_GLYPH, Alt+5
Design Assembly Exploded View Browser, SHORTCUTS, SELECTALL, Ctrl+A
Design Assembly Exploded View Browser, SHORTCUTS, COPY, Ctrl+C
Design Assembly Exploded View Browser, SHORTCUTS, OPEN_DESIGN, Ctrl+O
Design Assembly Exploded View Browser, SHORTCUTS, SAVE_DESIGN, Ctrl+S
Design Assembly Exploded View Browser, SHORTCUTS, PRINT_DESIGN, Ctrl+P
Design Assembly Exploded View Browser, SHORTCUTS, PASTE, Ctrl+V
Design Assembly Exploded View Browser, SHORTCUTS, CUT, Ctrl+X
Design Assembly Exploded View Browser, SHORTCUTS, REDO, Ctrl+Y
Design Assembly Exploded View Browser, SHORTCUTS, UNDO, Ctrl+Z
Design Assembly Exploded View Browser, SHORTCUTS, DELETE, Del
Design Assembly Exploded View Browser, SHORTCUTS, DESIGN_PROPERTIES, Alt+Enter
